"Number of Public Houses and Bars workplaces by London Borough, broken down by number of employees in Public House or Bar, 2001 to 2022",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Number of employees in public house or bar,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E09000024,Merton,Fewer than 10,45,45,35,40,35,40,40,35,35,35,30,25,35,25,30,25,20,25,25,25,25,30
E09000025,Newham,10 or more,15,15,15,15,15,15,15,15,15,15,10,10,15,15,15,15,15,10,10,15,15,15
E09000025,Newham,Any number of employees,105,100,90,90,75,80,75,70,70,60,55,50,50,50,45,50,50,45,45,45,45,50
E09000025,Newham,Fewer than 10,90,90,80,75,60,65,65,60,55,45,45,45,35,40,35,40,35,35,35,35,30,35
E09000026,Redbridge,10 or more,40,40,40,35,35,30,30,30,30,30,25,30,25,25,30,30,30,30,30,30,30,30
E09000026,Redbridge,Any number of employees,70,70,70,65,65,65,65,70,65,60,60,60,60,60,60,55,55,50,50,50,45,50
E09000026,Redbridge,Fewer than 10,30,30,30,30,35,35,35,40,35,30,35,30,35,35,30,25,20,20,20,25,15,20
E09000027,Richmond upon Thames,10 or more,50,45,50,50,55,55,60,55,55,60,60,65,60,70,75,75,75,65,65,65,65,60
E09000027,Richmond upon Thames,Any number of employees,160,160,145,150,150,155,160,145,135,130,125,130,125,125,125,125,125,115,115,115,115,115
E09000027,Richmond upon Thames,Fewer than 10,110,115,95,100,95,105,100,90,75,65,65,65,60,50,45,50,50,50,50,55,55,50
E09000028,Southwark,10 or more,35,45,40,40,40,45,50,45,55,50,50,55,60,75,85,100,100,90,85,85,90,85
E09000028,Southwark,Any number of employees,220,220,205,200,210,205,205,195,185,180,170,165,160,170,175,185,175,175,170,170,180,180
E09000028,Southwark,Fewer than 10,185,175,165,160,170,160,160,150,130,130,115,110,100,95,90,85,75,85,85,85,95,95
E09000029,Sutton,10 or more,30,35,30,25,30,30,30,25,25,25,20,20,25,25,25,25,25,25,25,25,30,25
E09000029,Sutton,Any number of employees,70,75,70,70,70,70,70,70,60,60,60,60,55,55,55,55,55,50,45,50,45,45
E09000029,Sutton,Fewer than 10,35,45,40,45,40,45,40,45,35,35,35,35,30,30,35,30,30,30,25,25,15,15
E09000030,Tower Hamlets,10 or more,25,25,30,25,30,35,35,35,35,30,40,40,45,40,45,45,45,50,60,70,65,60
E09000030,Tower Hamlets,Any number of employees,205,200,175,165,165,170,165,160,150,150,150,140,135,125,125,130,120,130,145,145,145,140
E09000030,Tower Hamlets,Fewer than 10,180,175,145,140,135,130,130,125,115,115,110,95,90,85,80,85,80,80,85,75,75,80
E09000031,Waltham Forest,10 or more,30,25,25,20,25,25,25,25,20,20,20,20,20,20,20,25,20,20,25,20,20,25
E09000031,Waltham Forest,Any number of employees,90,95,75,80,75,80,80,75,80,75,70,65,60,55,50,50,45,45,45,40,45,55
E09000031,Waltham Forest,Fewer than 10,55,70,50,60,50,55,55,50,55,55,50,45,40,30,35,30,25,25,20,20,25,30
E09000032,Wandsworth,10 or more,55,50,55,55,60,65,70,65,60,60,65,70,70,80,80,90,90,90,85,80,75,80
E09000032,Wandsworth,Any number of employees,150,155,155,150,150,155,160,160,150,140,130,130,125,125,125,135,130,135,130,125,120,120
E09000032,Wandsworth,Fewer than 10,95,105,95,95,95,90,90,95,90,80,70,60,60,45,45,45,40,45,45,50,45,40
E09000033,Westminster,10 or more,180,185,185,185,205,190,190,195,215,230,240,250,245,270,275,270,265,270,270,280,265,235
E09000033,Westminster,Any number of employees,515,490,475,480,490,470,455,450,450,440,450,450,440,445,440,440,425,430,430,435,430,425
E09000033,Westminster,Fewer than 10,330,305,290,295,285,285,265,255,235,215,210,200,195,175,165,175,160,160,160,160,165,190
,,,,,,,,,,,,,,,,,,,,,,,,
Source: Inter-Departmental Business Register,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Crown copyright, Office for National Statistics, 2022",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,
"1. ""Public houses and bars"" covers workplaces classified as subclass 56.30/2 by the Standard Industrial Classification (SIC 2007). ",,,,,,,,,,,,,,,,,,,,,,,,
Further information on SIC 2007 can be found at:,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ons.gov.uk/methodology/classificationsandstandards/ukstandardindustrialclassificationofeconomicactivities/uksic2007,,,,,,,,,,,,,,,,,,,,,,,,
2. All figures have been rounded to the nearest 5. Figures may not add exactly due to rounding. Some figures which appear to be zero may not actually be zero.,,,,,,,,,,,,,,,,,,,,,,,,
3. Workplaces with zero employment and enterprises with zero employment have been excluded from this analysis.,,,,,,,,,,,,,,,,,,,,,,,,
"4. In 2015, the IDBR extended the coverage of businesses to include a population of solely PAYE-based businesses that were",,,,,,,,,,,,,,,,,,,,,,,,
"previously excluded because of a risk of duplication. At UK level, 105,000 businesses have been added in 2015. A more detailed",,,,,,,,,,,,,,,,,,,,,,,,
note explaining these changes can be found on our website at:,,,,,,,,,,,,,,,,,,,,,,,,
https://webarchive.nationalarchives.gov.uk/ukgwa/20160106033318/http://www.ons.gov.uk/ons/guide-method/method-quality/specific/business-and-energy/uk-business--activity--size-and-location/index.html,,,,,,,,,,,,,,,,,,,,,,,,
5. Data prior to 2009 has been converted from SIC 1992 and SIC 2003 onto SIC 2007 to provide a consistent time series. ,,,,,,,,,,,,,,,,,,,,,,,,
"Caution should be exercised in interpreting the pre-2009 industry sector breakdowns as the conversion process relies on modelling, ",,,,,,,,,,,,,,,,,,,,,,,,
"which is based on assumptions, and may not fully account for changes in the treatment of head office activities before the introduction of SIC07. ",,,,,,,,,,,,,,,,,,,,,,,,
"More information can be found in Appendix 1 of the article 'Size of firms in London, 2001 to 2012'. ",,,,,,,,,,,,,,,,,,,,,,,,
https://webarchive.nationalarchives.gov.uk/ukgwa/20160106205550/http://www.ons.gov.uk/ons/rel/regional-trends/london-analysis/size-of-firms-in-london--2001-to-2012/index.html,,,,,,,,,,,,,,,,,,,,,,,,
"6. The size banding is based on the employee part of the internationally agreed definition of Small, Medium and Micro Businesses. ",,,,,,,,,,,,,,,,,,,,,,,,
7. A methodological improvement has been made to older years of data. The data published here for years 2001 to 2008 may differ slightly to earlier versions of this table.,,,,,,,,,,,,,,,,,,,,,,,,
"8. The data here are taken from the IDBR, a snapshot of which is taken in March of each year. ",,,,,,,,,,,,,,,,,,,,,,,,
"9. Where data has been published before as part of this series it is not revised. As a result, data for each geography reflects all postcodes in that geographical area at that time.",,,,,,,,,,,,,,,,,,,,,,,,
10. Figures may differ slightly from those published in the UK Business time-series as they are based on an 'enhanced' version of the IDBR and have slightly different disclosure and rounding rules applied.,,,,,,,,,,,,,,,,,,,,,,,,
